name,popularity
Sriya Reddy,0.6
Bindu Panicker,1.4
Anita Hassanandani,0.6
Matthew Broderick,2.317
James Earl Jones,5.318
Jeremy Irons,3.374
Rowan Atkinson,6.213
Niketa Calame,0.6
Jim Cummings,3.241
Whoopi Goldberg,4.923
Robert Guillaume,1.26
Moira Kelly,2.128
Nathan Lane,2.544
Zoe Leader,0.6
Cheech Marin,3.57
Ernie Sabella,1.553
Madge Sinclair,0.708
Jonathan Taylor Thomas,1.344
Frank Welker,10.72
Cathy Cavadini,0.761
Judi M. Durand,0.631
Daamen J. Krall,1.258
David McCharen,0.62
Mary Linda Phillips,0.6
Phil Proctor,1.347
David J. Randolph,0.6
Sally Dworsky,0.6
Evan Saucedo,0.6
Brian Tochi,3.006
Jason Weaver,1.708
Joseph Williams,0.6
Laura Williams,0.6
Anu Prabhakar,0.6
Biju Menon,1.4
Murali,0.6
Sindhu Tolani,0.6
Shamili,0.6
Swetha,0.6
Baby Sathanya,0.6
Andreanne Nouyrigat,0.6
Manisha Shree,0.6
Shanthanu Bhagyaraj,0.6
R. Sarathkumar,0.6
Nandha,0.6
Chaya Singh,0.84
Manikka Vinayagam,0.6
Meghna Nair,0.6
Kambar Jayaraman,2.75
Aparna Pillai,0.6
Mayoori,0.6
Tharika,0.6
Diya,0.6
Parul Yadav,1.094
Kaajal Pasupathi,1.4
Ramji,0.6
Poovilangu Mohan,0.6
Karthik Sabesh,0.6
Aryan,0.6
Roberto Benigni,2.162
Nicoletta Braschi,0.607
Giorgio Cantarini,1.4
Giustino Durano,1.601
Amerigo Fontani,0.6
Sergio Bini Bustric,1.15
Lidia Alfonsi,0.6
Horst Buchholz,1.276
Pietro De Silva,0.84
Marisa Paredes,0.848
Giuliana Lojodice,0.6
Francesco Guzzo,0.728
Adelaide Alaïs,0.6
Verena Buratti,0.6
Hannes Hellmann,1.22
Wolfgang Hillinger,0.98
Antonio Prester,0.98
Gina Rovere,1.166
Laura Susanne Ruedeberg,0.6
Richard Sammel,1.4
Andrea Tidona,0.612
Omero Antonutti,1.007
Poonam Bajwa,1.4
Saikumar,1.539
Rajan P Dev,0.6
Ravi Kale,0.665
Chaitanya Krishna,0.6
Nandha Saravanan,0.6
Mumtaj,0.6
Kamna Jethmalani,0.6
Snigdha Akolkar,1.38
Neelima Rani,0.6
Paravai Muniyamma,0.6
Yugendran,0.6
Chetan,0.6
Raghuvaran,0.833
Divya Spandana,0.6
Manorama,1.4
Mahat Raghavendra,0.656
Sana Khaan,0.6
Lollu Sabha Manohar,0.98
Singamuthu,0.6
Nellai Siva,0.732
Sanjjanaa Galrani,0.6
Arpitha,0.6
Antony,0.6
Gayathri Krishna,0.6
Abu Valayankulam,0.6
Anthony Vaathiyaar,0.6
Thevaram Sornam,0.98
Arumugam Bala,1.902
Kodangipatti Mokkathayi,0.6
Pallavarayanpatti Pandi,0.6
Vanaraj,0.6
Master Smith,0.6
Gopichand,0.98
Senthil,1.4
Shakeela,1.411
Poornitha,0.6
Reshmi Menon,1.4
Suman Shetty,0.6
Bharath Srinivasan,0.6
Sapan Saran,0.6
Ravichandran,0.6
Lollu Sabha Jeeva,0.98
Ashna Zaveri,0.98
Akhila Kishore,0.982
Nikeesha Patel,0.6
Suman Talwar,0.615
Azhagu,1.413
Sana Makbul,0.6
Anand,0.6
Sonarika Bhadoria,1.22
Ashrita Shetty,1.094
Sudhanshu Pandey,0.6
Nagendra Babu,0.629
Rajveer Ankur Singh,0.6
Amit,0.6
Niharika Konidela,0.6
Nivetha Thomas,0.88
Allari Naresh,0.608
Vasundhara Kashyap,1.4
Sandra Amy,0.6
Inigo Prabhakaran,0.968
Rama Prabha,0.728
Ravi Krishna,0.6
Yasmin Ponnappa,0.6
Rambo Rajkumar,0.648
Ajay Raj,0.67
Aishwarya Rai Bachchan,2.318
Revathi,0.98
Gautami Tadimalla,1.38
Tabu,1.589
Kaaka Radhakrishnan,0.6
Major Sundarrajan,1.4
Kalpana Iyer,0.6
S. N. Lakshmi,0.98
Sujitha,0.656
Monica,0.6
Madhoo,2.084
C. K. Saraswathi,2.72
P. L. Narayana,0.6
Suresh Chandra Menon,0.6
Sudhakar,0.6
Meera Mitun,0.6
Shiva,0.6
Iswarya Menon,0.6
Disha Pandey,0.6
O. A. K. Sundar,0.6
Tovino Thomas,0.6
Kalloori Vinoth,0.6
Master Raghavan,0.6
Nivetha Pethuraj,1.4
Aaron Aziz,1.4
Arjunan Nandakumar,0.6
Aarav Ravi,0.6
Jai Sampath,1.22
Catherine Tresa,0.6
Vichu Vishwanath,0.6
Thalapathi Dinesh,1.048
Mia George,0.6
Suja Varunee,0.73
Super Subbarayan,0.6
Rajalingam,0.6
Abhirami Gopikumar,1.4
Amritha Anilkumar,0.6
Siddhartha Basu,0.6
Mukesh Tiwari,0.6
Prathap Pothan,0.84
Pandi,0.6
Kausalya,1.388
Sithara,1.22
Janaki Sabesh,0.6
Madhumila,1.38
Nirosha,0.98
Kiran Rathod,1.082
Rajeev Pillai,1.38
Nyra Banerjee,0.6
Madhavi Latha,0.6
Advaitha,0.6
Yaar Kannan,0.652
Mammootty,1.579
Sadhana,0.6
Anjali,1.001
Anjali Ameer,0.6
Lizzie Antony,0.6
'Poo' Ram,0.6
Siddique,0.6
Suraj Venjaramoodu,1.3
Vani Bhojan,0.6
Seema,1.62
Ananth Vaidyanathan,0.6
J. K. Rithesh,0.6
Nanjil Sampath,1.4
Ramkumar Ganesan,1.4
Anandhi,0.6
Lijeesh,0.6
Karate Venkatesan,0.6
Alva Vasu,1.38
Dhaya Senthil,0.98
Cheran Raj,0.6
Pradheesh Raj,0.6
Silambarasan Rathnasamy,0.6
Aadhesh,0.6
Pasupathiraj,0.6
Madurai Mohan,0.6
Master J. Rahul,0.6
Vijayamuthu,0.6
Kovai Uma,0.6
Kambam Meena,0.6
Pulipandi,0.6
Winner Ramachandran,0.6
Vimal,0.84
Subbu Panchu,0.6
V. S. Raghavan,1.5
Master Vignesh,0.6
Master Ramesh,0.6
Nivas Adithan,0.6
Ramya Pandian,0.6
Bala Murugan,0.6
Shwetha Shekar,0.6
Lakshmi Gopalaswamy,0.828
Mohammad Ali Baig,0.6
Kavitha Bharathi,0.6
Aruvi Bala,0.6
Shaam,0.6
Karthika Nair,0.6
Aashritha,0.6
G. M. Sundar,0.608
Rindhu Ravi,0.6
Kamalinee Mukherjee,0.6
Pooja Devariya,0.828
Aravindh,0.6
Shalu Shammu,0.6
Tanya Ravichandran,1.914
Linga,0.6
Sridhar,0.6
Vijaya Patti,0.6
Neha Sharma,0.6
Vinoth Munna,0.6
KPY Bala,0.6
Chaplin Balu,0.6
Raashi Khanna,1.4
Ashutosh Rana,1.4
Ravi Kishan,0.6
