name,popularity
Aravind,0.6
Saindhavi Prakash,0.6
Shankar,0.6
Sravana Bhargavi,0.6
Anurag Kulkarni,0.6
Kasarla Shyam,0.6
Rahul Sipligunj,0.6
Mohana Bhogaraju,0.6
Harris Jayaraj,0.98
Radhakrishna Eskala,0.6
Shadab Rayeen,0.6
Mickey J Meyer,0.6
Benny Dayal,0.6
Sudesh Bhosle,0.605
Ilaiyaraaja,1.172
Armaan Malik,0.6
Shreya Ghoshal,0.6
Rahul Nambiar,0.6
Sid Sriram,0.6
Blaaze,0.6
Lady Kash,0.6
K. Haripriya,0.6
Mangli Satyavathi,0.6
Shanmukhapriya,0.6
Javed Ali,0.6
Chinmayi Sripaada,0.6
Rita Thyagarajan,0.6
S Chinna,0.6
Shankar Mahadevan,0.6
Ehsaan Noorani,0.6
Loy Mendonsa,0.6
Anirudh Ravichander,0.6
Tanishk Bagchi,0.6
Guru Randhawa,0.6
Sachet Tandon,0.6
Sunitha Sarathy,0.6
Shakthisree Gopalan,0.6
Haricharan,0.6
Yazin Nizar,0.6
Dhvani Bhanushali,0.98
Neeti Mohan,0.6
Badshah,0.6
Tulsi Kumar,0.6
Alyssa Mendonsa,0.6
Gingger Shankar,0.6
Sai Karthik,0.6
Usha Uthup,0.6
Gopi Sundar,0.6
Sri Vasanth,0.6
M. Ghibran,0.84
Alphons Joseph,0.6
Nikhita Gandhi,0.6
Sushma Shreshta,0.6
L. V. Revanth,0.6
Sam C S,0.6
M. R. Rajakrishnan,0.6
Balakesavan Shanmugam,0.6
Jakes Bejoy,0.6
Hari Haran,0.6
Sachin Sudhakaran,0.6
K C Sidharthan,0.608
Vysakh Sobhan,0.6
Raja Kiran,0.6
Nivas Prasanna,0.6
Justin Prabhakaran,0.6
Tony Joy,0.6
Sankaran,0.6
Sathyaprakash Dharmar,0.6
Nakul Abhyankar,0.6
Karthik Rodriguez,0.6
Kaala Bhairava,0.6
Aishwarya Ravichandran,0.6
Naresh Iyer,0.6
Yamini Ghantasala,0.6
Niranj Suresh,0.6
Nakash Aziz,0.6
Mahati Swara Sagar,0.6
Amala Chebolu,0.6
A. R. Rahman,0.6
Saluri Koteswara Rao,0.6
Ramya Behara,0.6
Sruthi Ranjani,0.6
Tushar Joshi,0.6
Chaitan Bharadwaj,0.6
Ajith Abraham George,0.6
Y.D. Manoj,0.6
Tapas Nayak,0.694
K Raghunadh,0.6
Sri Krishna,0.6
Anjana Sowmya,0.6
Padmalatha,0.6
Ravi Shankar,0.6
Vikram Biswas,0.968
Ashwin Bharde,0.6
V. Selvaganesh,0.6
Rakshita Suresh,0.6
Brodha,0.6
Shashaa Tirupati,0.98
Inno Genga,0.6
Darshan Raval,0.6
Varun Venugopal,0.6
Vivek Sagar,0.6
Shakti Kanth,0.6
Sweekar Agasthi,0.6
Mark K. Robin,0.6
T. Udayakumar,0.6
Arun S Mani,0.6
Sricharan Pakala,0.6
P. C. Vishnu,0.6
Sagar Mahati,0.6
Shekar Chandra,0.6
Sunny M.R.,0.6
Julius Packiam,0.6
Amit Trivedi,0.6
Chandrabose,0.6
Chirantan Bhatt,0.6
Anusha Mani,0.6
Tuomas Kantelinen,0.6
Kiril Kaloyanov,0.6
Vladimir Kaloyanov,0.98
Vicki Vandegrift,0.694
Jason Gaya,0.6
Chris Diebold,0.98
Kailand C. Reilly,0.6
Michael Baird,0.6
Angela Hemingway,0.6
Steven Iba,0.6
Mark Skillingberg,0.6
J.R. Ethiraj,0.6
Vishal Chandrasekhar,0.6
A M Rahmathulla,0.6
Prashant Pillai,0.6
Renganaath Ravee,0.6
G. Suren,0.6
Govindh Vasantha,0.6
Pradeep Kumar,0.6
S Alagia Koothan,0.6
Gurukiran,0.6
Ramana Gogula,0.6
S. P. Balasubramaniam,0.828
Bappi Lahiri,0.6
Aditya Iyengar,0.6
Sekhar Chandra,0.6
Adnan Sami,0.6
M. M. Manasi,0.6
JAM 8,0.6
Nimish Pilankar,0.6
Penchal Das,0.6
Judah Sandhy,0.6
Kavita Krishnamurthy,0.6
K. S. Chithra,0.6
Madhusudhan Reddy,0.6
Mahalakshmi Iyer,0.6
Pravin Mani,0.6
Mahesh Shankar,0.6
Ram Gopal Varma,1.38
Hanu Raghavapudi,0.6
B. V. Nandini Reddy,0.6
V. V. Vinayak,0.6
John Daly,0.6
A.S. Ravi Kumar Chowdary,0.6
Surendra Reddy,0.98
Perarasu,0.6
